Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,39.951923,40.288460,39.903847,40.288460,37.910614,279760
2015-01-05,40.288460,40.432693,40.048077,40.144230,37.774899,243360
2015-01-06,40.096153,40.144230,39.615383,39.711536,37.367744,414960
2015-01-07,39.567307,39.807693,39.567307,39.711536,37.367744,310960
2015-01-08,40.000000,40.000000,39.615383,39.759617,37.412983,464880
2015-01-09,39.903847,40.192307,39.903847,40.000000,37.639183,289120
2015-01-12,40.000000,40.576923,39.903847,40.288460,37.910614,793520
2015-01-13,40.336536,40.576923,39.855770,40.240383,37.865383,454480
2015-01-14,40.240383,40.432693,39.855770,39.855770,37.503464,316160
2015-01-15,39.711536,39.855770,39.615383,39.663460,37.322502,343200
2015-01-16,39.855770,39.855770,38.990383,38.990383,36.689156,682240
2015-01-19,39.230770,39.278847,38.653847,38.990383,36.689156,484640
2015-01-20,38.990383,39.182693,38.701923,39.086536,36.779629,258960
2015-01-21,39.086536,39.278847,39.038460,39.086536,36.779629,263120
2015-01-22,39.182693,39.375000,39.134617,39.326923,37.005829,300560
2015-01-23,39.326923,39.615383,39.182693,39.326923,37.005829,338000
2015-01-26,39.230770,39.326923,38.990383,38.990383,36.689156,176800
2015-01-27,38.990383,39.615383,38.990383,39.375000,37.051071,380640
2015-01-28,39.375000,39.375000,39.038460,39.134617,36.824875,279760
2015-01-29,39.423077,39.471153,38.942307,39.230770,36.915352,258960
2015-01-30,39.423077,39.519230,39.230770,39.423077,37.096310,412880
2015-02-02,39.423077,39.519230,39.086536,39.086536,36.779629,141440
2015-02-03,38.990383,39.182693,38.990383,39.038460,36.734398,160160
2015-02-04,39.326923,39.326923,38.990383,38.990383,36.689156,212160
2015-02-05,39.182693,39.182693,38.750000,38.750000,36.462955,286000
2015-02-06,38.798077,39.230770,38.750000,39.134617,36.824875,344240
2015-02-09,39.230770,39.230770,38.557693,38.942307,36.643913,307840
2015-02-10,38.653847,38.894230,38.557693,38.653847,36.372478,235040
2015-02-11,38.461536,38.605770,38.125000,38.317307,36.055801,814320
2015-02-12,38.317307,38.365383,38.125000,38.365383,36.101040,277680
2015-02-13,38.461536,38.605770,38.413460,38.509617,36.236763,294320
2015-02-24,38.557693,38.846153,38.509617,38.557693,36.281998,433680
2015-02-25,39.086536,39.086536,38.605770,38.894230,36.598675,418080
2015-02-26,38.894230,39.423077,38.750000,39.423077,37.096310,666640
2015-03-02,39.615383,39.711536,39.086536,39.230770,36.915352,348400
2015-03-03,39.230770,39.326923,39.038460,39.086536,36.779629,253760
2015-03-04,39.326923,39.326923,38.942307,38.942307,36.643913,217360
2015-03-05,38.942307,39.230770,38.942307,38.942307,36.643913,242320
2015-03-06,39.326923,39.326923,38.846153,38.894230,36.598675,307840
2015-03-09,38.846153,38.846153,38.509617,38.509617,36.236763,310960
2015-03-10,38.509617,38.653847,38.317307,38.317307,36.055801,377520
2015-03-11,38.317307,38.461536,38.317307,38.461536,36.191521,295360
2015-03-12,38.942307,38.942307,38.509617,38.653847,36.372478,241280
2015-03-13,38.750000,39.423077,38.750000,39.134617,36.824875,978640
2015-03-16,39.182693,39.278847,38.653847,38.653847,36.372478,295360
2015-03-17,38.942307,38.942307,38.509617,38.557693,36.281998,229840
2015-03-18,38.557693,38.750000,38.461536,38.605770,36.327236,213200
2015-03-19,38.653847,38.653847,38.317307,38.365383,36.101040,615680
2015-03-20,38.365383,39.134617,38.317307,39.038460,36.734398,807040
2015-03-23,39.423077,39.423077,38.701923,38.701923,36.417717,510640
2015-03-24,39.086536,39.182693,38.653847,38.894230,36.598675,262080
2015-03-25,38.653847,38.750000,38.221153,38.269230,36.010563,449280
2015-03-26,38.173077,38.750000,38.125000,38.461536,36.191521,349440
2015-03-27,38.798077,38.798077,38.173077,38.269230,36.010563,342160
2015-03-30,38.461536,38.461536,37.115383,37.500000,35.286736,671840
2015-03-31,37.692307,37.692307,36.634617,36.971153,34.789097,650000
2015-04-01,37.451923,38.125000,37.019230,37.980770,35.739128,1033760
2015-04-02,38.269230,38.413460,38.076923,38.173077,35.920082,407680
2015-04-07,38.413460,38.413460,37.980770,38.317307,36.055801,528320
2015-04-08,38.317307,38.750000,38.317307,38.509617,36.236763,648960
2015-04-09,38.557693,38.653847,38.269230,38.269230,36.010563,350480
2015-04-10,38.461536,38.461536,37.788460,37.980770,35.739128,222560
2015-04-13,37.500000,38.076923,37.500000,37.692307,35.467690,229840
2015-04-14,37.740383,38.173077,37.740383,38.173077,35.920082,248560
2015-04-15,38.365383,38.413460,37.980770,37.980770,35.739128,349440
2015-04-16,37.980770,37.980770,37.500000,37.644230,35.422451,346320
2015-04-17,37.788460,37.788460,37.067307,37.067307,34.879578,457600
2015-04-20,37.019230,37.403847,36.826923,37.211536,35.015297,252720
2015-04-21,37.500000,37.596153,36.778847,37.451923,35.241497,306800
2015-04-22,37.451923,37.451923,36.778847,36.875000,34.698620,298480
2015-04-23,36.778847,37.115383,36.778847,36.875000,34.698620,290160
2015-04-24,37.019230,37.115383,36.778847,36.875000,34.698620,338000
2015-04-27,37.211536,37.836536,37.115383,37.451923,35.241497,654160
2015-04-28,37.451923,37.644230,37.019230,37.019230,34.834335,275600
2015-04-29,37.019230,37.211536,36.682693,36.778847,34.608143,409760
2015-04-30,37.115383,37.115383,36.778847,37.067307,34.879578,248560
2015-05-04,37.019230,37.019230,36.538460,36.538460,34.381947,407680
2015-05-05,36.538460,36.538460,35.480770,35.721153,33.612873,1050400
2015-05-06,35.432693,35.480770,34.759617,35.096153,33.024765,838240
2015-05-07,34.951923,35.048077,33.653847,33.990383,31.984259,1080560
2015-05-08,33.990383,34.230770,33.461536,33.461536,31.486624,875680
2015-05-11,33.509617,33.653847,31.201923,31.250000,29.405609,1393600
2015-05-12,30.288462,31.009615,29.663462,29.711538,27.957949,1617200
2015-05-13,29.807692,30.961538,29.807692,30.865383,29.043694,796640
2015-05-14,30.865383,30.865383,30.240383,30.528847,28.727016,320320
2015-05-15,30.528847,30.528847,29.567307,29.855768,28.093668,561600
2015-05-18,28.942307,29.230768,27.788462,27.884615,26.238853,1990560
2015-05-19,27.403847,28.557692,27.403847,28.557692,26.872204,1060800
2015-05-20,28.413462,28.605768,28.173077,28.557692,26.872204,429520
2015-05-21,28.461538,28.942307,28.076923,28.894230,27.188879,483600
2015-05-22,28.942307,30.673077,28.894230,30.480768,28.681778,1161680
2015-05-25,30.528847,30.865383,30.096153,30.192307,28.410343,462800
2015-05-26,30.192307,30.384615,30.048077,30.288462,28.500824,361920
2015-05-27,30.480768,30.913462,30.432692,30.625000,28.817499,475280
2015-05-28,30.673077,31.057692,30.625000,30.625000,28.817499,567840
2015-05-29,30.625000,30.865383,30.000000,30.192307,28.410343,559520
2015-06-01,29.807692,30.048077,29.326923,30.000000,28.229385,534560
2015-06-02,30.000000,30.721153,29.807692,30.480768,28.681778,500240
2015-06-03,30.576923,30.769230,30.096153,30.144230,28.365105,459680
2015-06-04,30.144230,30.384615,28.846153,29.086538,27.369837,501280
2015-06-05,29.086538,29.086538,28.365383,29.086538,27.369837,609440
2015-06-08,29.038462,29.134615,28.557692,29.134615,27.415075,351520
2015-06-09,29.134615,29.134615,26.250000,26.250000,24.700714,1451840
2015-06-10,23.701923,27.115383,23.701923,27.115383,25.515022,1382160
2015-06-11,27.307692,27.307692,26.250000,26.778847,25.198347,554320
2015-06-12,26.346153,27.403847,26.250000,26.923077,25.334064,512720
2015-06-15,26.538462,27.500000,26.538462,27.163462,25.560261,262080
2015-06-16,27.163462,27.163462,26.730768,26.875000,25.288824,238160
2015-06-17,26.923077,27.019230,26.730768,26.826923,25.243586,229840
2015-06-18,26.875000,27.019230,26.826923,26.923077,25.334064,152880
