Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,14.107558,14.255539,14.107558,14.255539,10.484690,1202178
2015-01-05,14.255539,14.304867,14.107558,14.156885,10.412131,1338006
2015-01-06,14.107558,14.206212,13.910250,13.959577,10.267015,3016595
2015-01-07,13.959577,14.107558,13.910250,14.058231,10.339573,829158
2015-01-08,14.058231,14.058231,13.762268,13.910250,10.230735,4333315
2015-01-09,14.008904,14.058231,13.811595,13.860922,10.194456,2398274
2015-01-12,13.860922,13.959577,13.811595,13.811595,10.158177,1524516
2015-01-13,13.811595,13.910250,13.811595,13.860922,10.194456,958904
2015-01-14,13.860922,13.959577,13.762268,13.860922,10.194456,1576211
2015-01-15,13.811595,13.910250,13.762268,13.811595,10.158177,762258
2015-01-16,13.811595,13.860922,13.663614,13.663614,10.049339,1916795
2015-01-19,13.762268,13.811595,13.564960,13.564960,9.976782,997422
2015-01-20,13.564960,13.762268,13.564960,13.712941,10.085620,1491065
2015-01-21,13.712941,13.762268,13.564960,13.614287,10.013062,1052159
2015-01-22,13.614287,13.762268,13.614287,13.712941,10.085620,849431
2015-01-23,13.762268,13.860922,13.712941,13.811595,10.158177,1102841
2015-01-26,13.811595,13.860922,13.663614,13.663614,10.049339,481479
2015-01-27,13.663614,13.712941,13.564960,13.614287,10.013062,1928958
2015-01-28,13.564960,13.712941,13.564960,13.614287,10.013062,1262996
2015-01-29,13.614287,13.663614,13.564960,13.614287,10.013062,959918
2015-01-30,13.614287,13.712941,13.614287,13.614287,10.013062,710562
2015-02-02,13.663614,13.663614,13.564960,13.663614,10.049339,451070
2015-02-03,13.663614,13.663614,13.564960,13.564960,9.976782,532161
2015-02-04,13.614287,13.614287,13.367651,13.466305,9.904222,2133714
2015-02-05,13.466305,13.564960,13.268997,13.416978,9.867944,1568102
2015-02-06,13.416978,13.515633,13.318324,13.416978,9.867944,1446465
2015-02-09,13.219670,13.219670,12.726399,12.874380,9.468872,4537057
2015-02-10,12.825053,12.923707,12.775726,12.825053,9.432593,2113441
2015-02-11,12.825053,12.923707,12.381109,12.381109,9.106080,3554839
2015-02-12,12.381109,12.726399,12.381109,12.479763,9.178639,4446843
2015-02-13,12.578417,12.677071,12.529090,12.529090,9.214917,2128646
2015-02-24,12.578417,12.627744,12.282454,12.381109,9.106080,3422052
2015-02-25,12.381109,12.479763,12.282454,12.331781,9.069801,3067277
2015-02-26,12.381109,12.381109,12.085146,12.331781,9.069801,3152423
